0,0
1,0
2,0
3,0
4,0
5,2
6,5
7,42
8,149
9,426
10,616
11,604
12,411
13,515
14,481
15,363
16,179
17,516
18,379
19,301
20,303
21,760
22,1225
23,2081
24,2388
25,2423
26,2698
27,2129
28,2144
29,1620
30,1451
31,939
32,711
33,656
34,730
35,437
36,708
37,937
38,812
39,1079
40,2892
41,1388
42,1881
43,2311
44,1937
45,3272
46,3513
47,3907
48,3618
49,4308
50,6011
51,5027
52,4114
53,3001
54,2293
55,1841
56,1724
57,2219
58,1731
59,1094
60,1344
61,1075
62,1088
63,1077
64,964
65,1002
66,919
67,672
68,479
69,378
70,164
71,239
72,214
73,243
74,208
75,264
76,536
77,789
78,1544
79,2293
80,2833
81,2967
82,3183
83,3334
84,3271
85,2888
86,2797
87,1396
88,1439
89,1410
90,795
91,551
92,632
93,488
94,665
